sort,WKT,Layer,SubClasses,ExtendedEn,Linetype,EntityHand,Text,Z,Extracted_,Difference,
0.001653872,POINT Z (1528623.82 3799288.25 4421.99),DTM_POINT,AcDbEntity:AcDbPoint,,,7CE,,1347.43611,1347.825248,-0.38913759,<Geometry>POINT Z (1528623.82 3799288.25 4421.99)</Geometry>
0.001829098,POINT Z (1528714.28 3799228.07 4422.21),DTM_POINT,AcDbEntity:AcDbPoint,,,ACE,,1347.448007,1347.892304,-0.4442968,<Geometry>POINT Z (1528714.28 3799228.07 4422.21)</Geometry>
0.00187148,POINT Z (1528585.59 3799318.21 4422.06),DTM_POINT,AcDbEntity:AcDbPoint,,,64C,,1347.363386,1347.846584,-0.48319808,<Geometry>POINT Z (1528585.59 3799318.21 4422.06)</Geometry>
0.002267301,POINT Z (1527803.1 3799265.93 4420.79),DTM_POINT,AcDbEntity:AcDbPoint,,,15C6,,1346.827255,1347.459487,-0.63223226,<Geometry>POINT Z (1527803.1 3799265.93 4420.79)</Geometry>
0.002662014,POINT Z (1528443.1 3799247.92 4421.39),DTM_POINT,AcDbEntity:AcDbPoint,,,2DC,,1347.3147,1347.642367,-0.32766683,<Geometry>POINT Z (1528443.1 3799247.92 4421.39)</Geometry>
0.002923569,POINT Z (1528746.99 3799262.04 4422.46),DTM_POINT,AcDbEntity:AcDbPoint,,,364,,1347.462143,1347.968504,-0.5063613,<Geometry>POINT Z (1528746.99 3799262.04 4422.46)</Geometry>
0.003071627,POINT Z (1527907.83 3799237.51 4420.55),DTM_POINT,AcDbEntity:AcDbPoint,,,12FF,,1346.833893,1347.386335,-0.55244135,<Geometry>POINT Z (1527907.83 3799237.51 4420.55)</Geometry>
0.003074681,POINT Z (1527699.08 3799286.56 4420.43),DTM_POINT,AcDbEntity:AcDbPoint,,,16B0,,1346.736931,1347.349759,-0.61282818,<Geometry>POINT Z (1527699.08 3799286.56 4420.43)</Geometry>
0.003095949,POINT Z (1528666.75 3799273.02 4421.92),DTM_POINT,AcDbEntity:AcDbPoint,,,871,,1347.436769,1347.803912,-0.36714279,<Geometry>POINT Z (1528666.75 3799273.02 4421.92)</Geometry>
0.003126269,POINT Z (1527782.81 3799247.1 4420.46),DTM_POINT,AcDbEntity:AcDbPoint,,,1548,,1346.758741,1347.358903,-0.60016214,<Geometry>POINT Z (1527782.81 3799247.1 4420.46)</Geometry>
0.003209675,POINT Z (1528702.08 3799293.29 4422.84),DTM_POINT,AcDbEntity:AcDbPoint,,,768,,1347.431572,1348.084328,-0.65275625,<Geometry>POINT Z (1528702.08 3799293.29 4422.84)</Geometry>
0.003426881,POINT Z (1528388.37 3799221.73 4420.71),DTM_POINT,AcDbEntity:AcDbPoint,,,1A1,,1347.232274,1347.435103,-0.20282854,<Geometry>POINT Z (1528388.37 3799221.73 4420.71)</Geometry>
0.003481257,POINT Z (1528291.53 3799282.63 4421.76),DTM_POINT,AcDbEntity:AcDbPoint,,,484,,1347.234713,1347.755144,-0.52043019,<Geometry>POINT Z (1528291.53 3799282.63 4421.76)</Geometry>
